city_key,offense,lat,lon,radius_m,reason,evidence_url_note
boston,any,42.29756,-71.05971,30,BPD C-11 Dorchester station point; offense rows snapped to 40 Gibson St station house,geocoding audit 2026-07-05 findings.md section 1
boston,any,42.34129,-71.05468,30,BPD C-6 South Boston station point; offense rows snapped to 101 W Broadway station house,geocoding audit 2026-07-05 findings.md section 1
boston,any,42.33954,-71.06941,30,BPD D-4 South End station point; offense rows snapped to 650 Harrison Ave station house,geocoding audit 2026-07-05 findings.md section 1
boston,any,42.28483,-71.09137,30,BPD B-3 Mattapan station point; offense rows snapped to 1165 Blue Hill Ave station house,geocoding audit 2026-07-05 findings.md section 1
boston,any,42.32866,-71.08563,30,BPD B-2 Roxbury station point; offense rows snapped to 2400 Washington St station house,geocoding audit 2026-07-05 findings.md section 1
boston,any,42.34906,-71.1505,30,BPD D-14 Brighton station point; offense rows snapped to 301 Washington St Brighton station house,geocoding audit 2026-07-05 findings.md section 1
boston,any,42.36184,-71.05976,30,BPD A-1 Downtown station point; offense rows snapped to 40 New Sudbury St station house,geocoding audit 2026-07-05 findings.md section 1
boston,any,42.30972,-71.10429,30,BPD E-13 Jamaica Plain station point; offense rows snapped to 3345 Washington St station house,geocoding audit 2026-07-05 findings.md section 1
boston,any,42.25622,-71.12402,30,BPD E-18 Hyde Park station point; offense rows snapped to 1249 Hyde Park Ave station house,geocoding audit 2026-07-05 findings.md section 1
boston,any,42.28709,-71.14822,30,BPD E-5 West Roxbury station point; offense rows snapped to 1708 Centre St station house,geocoding audit 2026-07-05 findings.md section 1
boston,any,42.37082,-71.03929,30,BPD A-7 East Boston station point; offense rows snapped to 69 Paris St station house,geocoding audit 2026-07-05 findings.md section 1
boston,any,42.33368,-71.09135,30,BPD headquarters point; offense rows snapped to 1 Schroeder Plaza reporting location,geocoding audit 2026-07-05 findings.md section 1
philadelphia,any,40.05509472,-75.26380374,30,Philadelphia geocode-failure default point outside city at Upper Roxborough/Montgomery County,geocoding audit 2026-07-05 findings.md section 3
new_york,any,40.6713598203364,-73.8818110231735,30,NYPD precinct station-house masking point; located sex-offense and unknown-location rows snap to precinct houses (432 rape rows here; 9932 located NYC rapes fall on exactly 77 precinct points),geocoding audit 2026-07-05 findings.md rape masking scan (77 precinct points)
new_york,any,40.8873136344706,-73.8472717577564,30,NYPD precinct station-house masking point; located sex-offense and unknown-location rows snap to precinct houses (290 rape rows here; 9932 located NYC rapes fall on exactly 77 precinct points),geocoding audit 2026-07-05 findings.md rape masking scan (77 precinct points)
new_york,any,40.8229123084767,-73.8700413043181,30,NYPD precinct station-house masking point; located sex-offense and unknown-location rows snap to precinct houses (261 rape rows here; 9932 located NYC rapes fall on exactly 77 precinct points),geocoding audit 2026-07-05 findings.md rape masking scan (77 precinct points)
new_york,any,40.8378421209284,-73.9196277517392,30,NYPD precinct station-house masking point; located sex-offense and unknown-location rows snap to precinct houses (247 rape rows here; 9932 located NYC rapes fall on exactly 77 precinct points),geocoding audit 2026-07-05 findings.md rape masking scan (77 precinct points)
new_york,any,40.6488507469884,-73.951016510623,30,NYPD precinct station-house masking point; located sex-offense and unknown-location rows snap to precinct houses (239 rape rows here; 9932 located NYC rapes fall on exactly 77 precinct points),geocoding audit 2026-07-05 findings.md rape masking scan (77 precinct points)
new_york,any,40.6711300016904,-73.9135020552048,30,NYPD precinct station-house masking point; located sex-offense and unknown-location rows snap to precinct houses (238 rape rows here; 9932 located NYC rapes fall on exactly 77 precinct points),geocoding audit 2026-07-05 findings.md rape masking scan (77 precinct points)
new_york,any,40.7434812638841,-73.8740035373971,30,NYPD precinct station-house masking point; located sex-offense and unknown-location rows snap to precinct houses (235 rape rows here; 9932 located NYC rapes fall on exactly 77 precinct points),geocoding audit 2026-07-05 findings.md rape masking scan (77 precinct points)
