city_key,offense,lat,lon,reason,evidence_url_note
new_york,any,40.750423,-73.98928,Penn Station/Herald Square real concentration; max point below tripwire but pre-reviewed,geocoding audit 2026-07-05 findings.md VERIFIED CORRECT
chicago,any,41.976290414,-87.905227221,O'Hare airport real airport incident concentration,geocoding audit 2026-07-05 findings.md VERIFIED CORRECT
minneapolis,any,44.9745,-93.27432,900 Nicollet Mall/Target flagship real shoplifting hotspot,geocoding audit 2026-07-05 findings.md VERIFIED CORRECT
boston,larceny,42.35512,-71.06088,Downtown Crossing real larceny hotspot noted as not a station default,geocoding audit 2026-07-05 findings.md section 1
boston,larceny,42.34862,-71.08278,Prudential real larceny hotspot noted as not a station default,geocoding audit 2026-07-05 findings.md section 1
san_diego,motor_vehicle_theft,32.55078632775014,-116.97416932940509,Otay Mesa border port recovery/reporting concentration reviewed as real record with wrong theft-location semantics,geocoding audit 2026-07-05 findings.md section 6
san_diego,motor_vehicle_theft,32.55078542535234,-116.97416847625352,Otay Mesa border port recovery/reporting concentration reviewed as real record with wrong theft-location semantics,geocoding audit 2026-07-05 findings.md section 6
san_diego,motor_vehicle_theft,32.54822079972711,-117.03459252923568,San Ysidro border port recovery/reporting concentration reviewed as real record with wrong theft-location semantics,geocoding audit 2026-07-05 findings.md section 6
san_diego,motor_vehicle_theft,32.5533822484779,-116.97988214277878,Otay Mesa border port recovery/reporting concentration reviewed as real record with wrong theft-location semantics,geocoding audit 2026-07-05 findings.md section 6
san_diego,motor_vehicle_theft,32.54527325199726,-117.03062413456904,San Ysidro border port recovery/reporting concentration reviewed as real record with wrong theft-location semantics,geocoding audit 2026-07-05 findings.md section 6
charlotte,aggravated_assault,35.282932,-80.860061,1900 Griers Grove Rd apartment complex (Garden Park/Northwood),geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
charlotte,burglary,35.343838,-80.824144,Davis Lake / Croft area residential-industrial block (near Gerdau steel mill),geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
charlotte,larceny,35.1512,-80.828674,SouthPark Mall (South Park Dr ring road),geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
charlotte,murder,35.212953,-80.794612,1348 Green Oaks Ln apartment complex (Chantilly/Eastway),geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
charlotte,rape,35.303235,-80.751401,"University Place commercial/hotel block near UNCC (Hampton Inn University Place, IHOP)",geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
charlotte,robbery,35.276999,-80.766363,6500 N Tryon St commercial strip (Newell),geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
chicago,larceny,41.883500187,-87.627876698,"100 block of N State St, the Loop - Macy's State Street / State St retail block",geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
cincinnati,motor_vehicle_theft,39.0832269100598,-84.61760462,"Single residential incident, 168 Anderson Ferry Rd area (Riverside)",geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
cincinnati,murder,39.1027893000598,-84.57094302,"Single residential incident, Sedler St (East Price Hill)",geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
dallas,aggravated_assault,32.72825,-96.81244,"Maryland Ave residential block, South Dallas (Oak Cliff)",geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
dallas,burglary,32.90512,-96.71072,9530 Skillman St commercial strip (Lake Highlands/Audelia),geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
dallas,larceny,32.86959,-96.77071,NorthPark Center mall (8699 N Central Expwy),geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
dallas,murder,32.76577,-96.73354,"3839 Dixon Ave residential block, South Dallas",geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
kansas_city,aggravated_assault,38.9901,-94.54488,"East Hills Village Apartments, 7500 Monroe Ave",geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
kansas_city,burglary,39.03859,-94.59187,"4901 Wornall Rd block, Country Club Plaza",geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
kansas_city,larceny,39.25013,-94.65713,"Walmart Supercenter #2857 / Boardwalk Square retail node, 8551 N Boardwalk Ave (Platte Co) - NOT airport",geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
kansas_city,motor_vehicle_theft,38.97104,-94.60588,Ward Parkway Shopping Center,geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
kansas_city,murder,38.99969,-94.55684,55th St & Prospect Ave commercial corner (Church's Chicken/Shell/Xpress Mart),geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
kansas_city,rape,39.1076,-94.54042,504 Bales Ave - multi-unit residential address off Independence Ave corridor,geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
kansas_city,robbery,39.02329,-94.57403,5642 Troost Ave commercial corridor,geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
milwaukee,larceny,42.98205977800798,-87.94943655421856,"3441 S 27th St discount-retail strip (Loomis Center: Ross, Marshalls, dd's Discounts, Five Below)",geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
milwaukee,murder,42.95525450596736,-87.93076043194478,1400 W Halsey Ave (single residential incident),geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
milwaukee,rape,42.980723894913694,-88.00964571496351,7707 W Morgan Ave (single residential address),geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
montgomery_county,aggravated_assault,38.99062,-77.0267,"Downtown Silver Spring commercial block, 8100 Georgia Ave (adjacent to Fire Station 1)",geocoding audit 2026-07-05 adjudication.csv REAL_HOTSPOT
