county_fips,cbsa_code,cbsa_title
18057,26900,"Indianapolis-Carmel-Greenwood, IN"
18059,26900,"Indianapolis-Carmel-Greenwood, IN"
18061,31140,"Louisville/Jefferson County, KY-IN"
18063,26900,"Indianapolis-Carmel-Greenwood, IN"
18065,35220,"New Castle, IN"
18067,29020,"Kokomo, IN"
18069,26540,"Huntington, IN"
18071,42980,"Seymour, IN"
18073,16980,"Chicago-Naperville-Elgin, IL-IN"
18077,31500,"Madison, IN"
18081,26900,"Indianapolis-Carmel-Greenwood, IN"
18083,47180,"Vincennes, IN"
18085,47700,"Warsaw, IN"
18089,16980,"Chicago-Naperville-Elgin, IL-IN"
18091,33140,"Michigan City-La Porte, IN"
18093,13260,"Bedford, IN"
18095,26900,"Indianapolis-Carmel-Greenwood, IN"
18097,26900,"Indianapolis-Carmel-Greenwood, IN"
18099,38500,"Plymouth, IN"
18103,37940,"Peru, IN"
18105,14020,"Bloomington, IN"
18107,18820,"Crawfordsville, IN"
18109,26900,"Indianapolis-Carmel-Greenwood, IN"
18111,16980,"Chicago-Naperville-Elgin, IL-IN"
18113,28340,"Kendallville, IN"
18115,17140,"Cincinnati, OH-KY-IN"
18119,14020,"Bloomington, IN"
18127,16980,"Chicago-Naperville-Elgin, IL-IN"
18129,21780,"Evansville, IN"
18133,24600,"Greencastle, IN"
18141,43780,"South Bend-Mishawaka, IN-MI"
18145,26900,"Indianapolis-Carmel-Greenwood, IN"
18151,11420,"Angola, IN"
18153,45460,"Terre Haute, IN"
18157,29200,"Lafayette-West Lafayette, IN"
18159,26900,"Indianapolis-Carmel-Greenwood, IN"
18163,21780,"Evansville, IN"
18165,45460,"Terre Haute, IN"
18167,45460,"Terre Haute, IN"
18169,47340,"Wabash, IN"
18171,29200,"Lafayette-West Lafayette, IN"
18173,21780,"Evansville, IN"
18175,31140,"Louisville/Jefferson County, KY-IN"
18177,39980,"Richmond, IN"
18179,23060,"Fort Wayne, IN"
18181,33900,"Monticello, IN"
18183,23060,"Fort Wayne, IN"
19011,16300,"Cedar Rapids, IA"
19013,47940,"Waterloo-Cedar Falls, IA"
19015,11180,"Ames, IA"
19017,47940,"Waterloo-Cedar Falls, IA"
19021,44740,"Storm Lake, IA"
19027,16140,"Carroll, IA"
19033,32380,"Mason City, IA"
19041,43980,"Spencer, IA"
19045,17540,"Clinton, IA"
19049,19780,"Des Moines-West Des Moines, IA"
19057,15460,"Burlington, IA-IL"
19059,44020,"Spirit Lake, IA"
19061,20220,"Dubuque, IA"
19075,47940,"Waterloo-Cedar Falls, IA"
19077,19780,"Des Moines-West Des Moines, IA"
19085,36540,"Omaha, NE-IA"
19099,19780,"Des Moines-West Des Moines, IA"
19103,26980,"Iowa City, IA"
19105,16300,"Cedar Rapids, IA"
19111,22800,"Fort Madison, IA"
19113,16300,"Cedar Rapids, IA"
19121,19780,"Des Moines-West Des Moines, IA"
19123,36820,"Oskaloosa, IA"
19125,37800,"Pella, IA"
19127,32260,"Marshalltown, IA"
19129,36540,"Omaha, NE-IA"
19139,34700,"Muscatine, IA"
19149,30180,"Le Mars, IA"
19153,19780,"Des Moines-West Des Moines, IA"
19155,36540,"Omaha, NE-IA"
19163,19340,"Davenport-Moline-Rock Island, IA-IL"
19169,11180,"Ames, IA"
19179,36900,"Ottumwa, IA"
19181,19780,"Des Moines-West Des Moines, IA"
19183,26980,"Iowa City, IA"
19187,22700,"Fort Dodge, IA"
19193,43580,"Sioux City, IA-NE-SD"
19195,32380,"Mason City, IA"
20005,11860,"Atchison, KS"
20009,24460,"Great Bend, KS"
20015,48620,"Wichita, KS"
20017,21380,"Emporia, KS"
20021,27900,"Joplin, MO-KS"
20035,11680,"Arkansas City-Winfield, KS"
20037,38260,"Pittsburg, KS"
20043,41140,"St. Joseph, MO-KS"
20045,29940,"Lawrence, KS"
20051,25700,"Hays, KS"
20055,23780,"Garden City, KS"
20057,19980,"Dodge City, KS"
20059,36840,"Ottawa, KS"
20061,31740,"Manhattan, KS"
20079,48620,"Wichita, KS"
20085,45820,"Topeka, KS"
20087,45820,"Topeka, KS"
20091,28140,"Kansas City, MO-KS"
20103,28140,"Kansas City, MO-KS"
20107,28140,"Kansas City, MO-KS"
20111,21380,"Emporia, KS"
20113,32700,"McPherson, KS"
20121,28140,"Kansas City, MO-KS"
20139,45820,"Topeka, KS"
20143,41460,"Salina, KS"
20149,31740,"Manhattan, KS"
20155,26740,"Hutchinson, KS"
20161,31740,"Manhattan, KS"
20169,41460,"Salina, KS"
20173,48620,"Wichita, KS"
20175,30580,"Liberal, KS"
20177,45820,"Topeka, KS"
20191,48620,"Wichita, KS"
20197,45820,"Topeka, KS"
20209,28140,"Kansas City, MO-KS"
21003,14540,"Bowling Green, KY"
21005,23180,"Frankfort, KY"
21007,37140,"Paducah, KY-IL"
21009,23980,"Glasgow, KY"
21011,34460,"Mount Sterling, KY"
21013,33180,"Middlesborough, KY"
21015,17140,"Cincinnati, OH-KY-IN"
21017,30460,"Lexington-Fayette, KY"
21019,26580,"Huntington-Ashland, WV-KY-OH"
21021,19220,"Danville, KY"
21023,17140,"Cincinnati, OH-KY-IN"
21029,31140,"Louisville/Jefferson County, KY-IN"
21031,14540,"Bowling Green, KY"
21035,34660,"Murray, KY"
21037,17140,"Cincinnati, OH-KY-IN"
21039,37140,"Paducah, KY-IL"
21043,26580,"Huntington-Ashland, WV-KY-OH"
21047,17300,"Clarksville, TN-KY"
21049,30460,"Lexington-Fayette, KY"
21051,18340,"Corbin, KY"
21059,36980,"Owensboro, KY"
21061,14540,"Bowling Green, KY"
21065,40080,"Richmond-Berea, KY"
21067,30460,"Lexington-Fayette, KY"
21071,38210,"Pikeville, KY"
21073,23180,"Frankfort, KY"
21077,17140,"Cincinnati, OH-KY-IN"
21081,17140,"Cincinnati, OH-KY-IN"
21083,32460,"Mayfield, KY"
21087,15820,"Campbellsville, KY"
21089,26580,"Huntington-Ashland, WV-KY-OH"
21093,21060,"Elizabethtown, KY"
21101,25775,"Henderson, KY"
21103,31140,"Louisville/Jefferson County, KY-IN"
21107,31580,"Madisonville, KY"
21111,31140,"Louisville/Jefferson County, KY-IN"
21113,30460,"Lexington-Fayette, KY"
21117,17140,"Cincinnati, OH-KY-IN"
21121,18340,"Corbin, KY"
21123,21060,"Elizabethtown, KY"
21125,18340,"Corbin, KY"
21127,26580,"Huntington-Ashland, WV-KY-OH"
21137,19220,"Danville, KY"
21139,37140,"Paducah, KY-IL"
21145,37140,"Paducah, KY-IL"
21149,36980,"Owensboro, KY"
21151,40080,"Richmond-Berea, KY"
21163,31140,"Louisville/Jefferson County, KY-IN"
21165,34460,"Mount Sterling, KY"
21169,23980,"Glasgow, KY"
21173,34460,"Mount Sterling, KY"
21179,31140,"Louisville/Jefferson County, KY-IN"
21185,31140,"Louisville/Jefferson County, KY-IN"
21191,17140,"Cincinnati, OH-KY-IN"
21195,38210,"Pikeville, KY"
21199,43700,"Somerset, KY"
21203,40080,"Richmond-Berea, KY"
21209,30460,"Lexington-Fayette, KY"
21211,31140,"Louisville/Jefferson County, KY-IN"
21213,23190,"Franklin, KY"
21215,31140,"Louisville/Jefferson County, KY-IN"
21217,15820,"Campbellsville, KY"
21221,17300,"Clarksville, TN-KY"
21227,14540,"Bowling Green, KY"
21233,25775,"Henderson, KY"
21235,18340,"Corbin, KY"
21239,30460,"Lexington-Fayette, KY"
22001,29180,"Lafayette, LA"
22005,12940,"Baton Rouge, LA"
22007,12940,"Baton Rouge, LA"
22011,19760,"DeRidder, LA"
22015,43340,"Shreveport-Bossier City, LA"
22017,43340,"Shreveport-Bossier City, LA"
22019,29340,"Lake Charles, LA"
22023,29340,"Lake Charles, LA"
22029,35020,"Natchez, MS-LA"
22031,43340,"Shreveport-Bossier City, LA"
22033,12940,"Baton Rouge, LA"
22037,12940,"Baton Rouge, LA"
22043,10780,"Alexandria, LA"
22045,35340,"New Iberia, LA"
22047,12940,"Baton Rouge, LA"
22051,35380,"New Orleans-Metairie, LA"
22053,29340,"Lake Charles, LA"
22055,29180,"Lafayette, LA"
22057,26380,"Houma-Bayou Cane-Thibodaux, LA"
22061,40820,"Ruston, LA"
22063,12940,"Baton Rouge, LA"
22067,33740,"Monroe, LA"
22069,35060,"Natchitoches, LA"
22071,35380,"New Orleans-Metairie, LA"
22073,33740,"Monroe, LA"
22075,35380,"New Orleans-Metairie, LA"
22077,12940,"Baton Rouge, LA"
22079,10780,"Alexandria, LA"
22083,33740,"Monroe, LA"
22087,35380,"New Orleans-Metairie, LA"
22089,35380,"New Orleans-Metairie, LA"
22091,12940,"Baton Rouge, LA"
22093,35380,"New Orleans-Metairie, LA"
22095,35380,"New Orleans-Metairie, LA"
22097,36660,"Opelousas, LA"
22099,29180,"Lafayette, LA"
22101,34020,"Morgan City, LA"
22103,43640,"Slidell-Mandeville-Covington, LA"
22105,25220,"Hammond, LA"
22109,26380,"Houma-Bayou Cane-Thibodaux, LA"
22111,33740,"Monroe, LA"
22113,29180,"Lafayette, LA"
22117,14220,"Bogalusa, LA"
22119,33380,"Minden, LA"
22121,12940,"Baton Rouge, LA"
22125,12940,"Baton Rouge, LA"
23001,30340,"Lewiston-Auburn, ME"
23005,38860,"Portland-South Portland, ME"
23011,12300,"Augusta-Waterville, ME"
23019,12620,"Bangor, ME"
23023,38860,"Portland-South Portland, ME"
23031,38860,"Portland-South Portland, ME"
24001,19060,"Cumberland, MD-WV"
24003,12580,"Baltimore-Columbia-Towson, MD"
24005,12580,"Baltimore-Columbia-Towson, MD"
24009,30500,"Lexington Park, MD"
24013,12580,"Baltimore-Columbia-Towson, MD"
24015,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
24017,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
24019,15700,"Cambridge, MD"
24021,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
24025,12580,"Baltimore-Columbia-Towson, MD"
24027,12580,"Baltimore-Columbia-Towson, MD"
24031,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
24033,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
24035,12580,"Baltimore-Columbia-Towson, MD"
24037,30500,"Lexington Park, MD"
24039,41540,"Salisbury, MD"
24041,20660,"Easton, MD"
24043,25180,"Hagerstown-Martinsburg, MD-WV"
24045,41540,"Salisbury, MD"
24047,36180,"Ocean Pines, MD"
24510,12580,"Baltimore-Columbia-Towson, MD"
25001,12700,"Barnstable Town, MA"
25003,38340,"Pittsfield, MA"
25005,39300,"Providence-Warwick, RI-MA"
25007,47240,"Vineyard Haven, MA"
25009,14460,"Boston-Cambridge-Newton, MA-NH"
25011,24640,"Greenfield, MA"
25013,44140,"Springfield, MA"
25015,11200,"Amherst Town-Northampton, MA"
25017,14460,"Boston-Cambridge-Newton, MA-NH"
25019,34880,"Nantucket, MA"
25021,14460,"Boston-Cambridge-Newton, MA-NH"
25023,14460,"Boston-Cambridge-Newton, MA-NH"
25025,14460,"Boston-Cambridge-Newton, MA-NH"
25027,49340,"Worcester, MA"
26005,26090,"Holland, MI"
26007,10980,"Alpena, MI"
26015,24340,"Grand Rapids-Wyoming-Kentwood, MI"
26017,13020,"Bay City, MI"
26019,45900,"Traverse City, MI"
26021,35660,"Niles, MI"
26023,17740,"Coldwater, MI"
26025,12980,"Battle Creek, MI"
26027,43780,"South Bend-Mishawaka, IN-MI"
26033,42300,"Sault Ste. Marie, MI"
26037,29620,"Lansing-East Lansing, MI"
26041,21540,"Escanaba, MI"
26043,27020,"Iron Mountain, MI-WI"
26045,29620,"Lansing-East Lansing, MI"
26047,37950,"Petoskey, MI"
26049,22420,"Flint, MI"
26055,45900,"Traverse City, MI"
26057,10940,"Alma, MI"
26059,25880,"Hillsdale, MI"
26061,26340,"Houghton, MI"
26065,29620,"Lansing-East Lansing, MI"
26067,24340,"Grand Rapids-Wyoming-Kentwood, MI"
26073,34380,"Mount Pleasant, MI"
26075,27100,"Jackson, MI"
26077,28020,"Kalamazoo-Portage, MI"
26079,45900,"Traverse City, MI"
26081,24340,"Grand Rapids-Wyoming-Kentwood, MI"
26083,26340,"Houghton, MI"
26087,19820,"Detroit-Warren-Dearborn, MI"
26089,45900,"Traverse City, MI"
26091,10300,"Adrian, MI"
26093,19820,"Detroit-Warren-Dearborn, MI"
26099,19820,"Detroit-Warren-Dearborn, MI"
26103,32100,"Marquette, MI"
26105,31220,"Ludington, MI"
26107,13660,"Big Rapids, MI"
26109,31940,"Marinette, WI-MI"
26111,33220,"Midland, MI"
26113,15620,"Cadillac, MI"
26115,33780,"Monroe, MI"
26117,24340,"Grand Rapids-Wyoming-Kentwood, MI"
26121,34740,"Muskegon-Norton Shores, MI"
26125,19820,"Detroit-Warren-Dearborn, MI"
26139,24340,"Grand Rapids-Wyoming-Kentwood, MI"
26145,40980,"Saginaw, MI"
26147,19820,"Detroit-Warren-Dearborn, MI"
26149,44780,"Sturgis, MI"
26155,37020,"Owosso, MI"
26161,11460,"Ann Arbor, MI"
26163,19820,"Detroit-Warren-Dearborn, MI"
26165,15620,"Cadillac, MI"
27003,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
27005,19810,"Detroit Lakes, MN"
27007,13420,"Bemidji, MN"
27009,41060,"St. Cloud, MN"
27013,31860,"Mankato, MN"
27015,35580,"New Ulm, MN"
27017,20260,"Duluth, MN-WI"
27019,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
27021,14660,"Brainerd, MN"
27025,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
27027,22020,"Fargo, ND-MN"
27035,14660,"Brainerd, MN"
27037,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
27039,40340,"Rochester, MN"
27041,10820,"Alexandria, MN"
27045,40340,"Rochester, MN"
27047,10660,"Albert Lea, MN"
27049,39860,"Red Wing, MN"
27053,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
27055,29100,"La Crosse-Onalaska, WI-MN"
27059,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
27061,24330,"Grand Rapids, MN"
27067,48820,"Willmar, MN"
27079,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
27083,32140,"Marshall, MN"
27085,26780,"Hutchinson, MN"
27091,21860,"Fairmont, MN"
27095,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
27099,12380,"Austin, MN"
27103,31860,"Mankato, MN"
27105,49380,"Worthington, MN"
27109,40340,"Rochester, MN"
27111,22260,"Fergus Falls, MN"
27119,24220,"Grand Forks, ND-MN"
27123,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
27131,22060,"Faribault-Northfield, MN"
27133,43620,"Sioux Falls, SD-MN"
27137,20260,"Duluth, MN-WI"
27139,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
27141,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
27145,41060,"St. Cloud, MN"
27147,36940,"Owatonna, MN"
27157,40340,"Rochester, MN"
27163,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
27167,47420,"Wahpeton, ND-MN"
27169,49100,"Winona, MN"
27171,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
28001,35020,"Natchez, MS-LA"
28003,18420,"Corinth, MS"
28009,32820,"Memphis, TN-MS-AR"
28011,17380,"Cleveland, MS"
28015,24900,"Greenwood, MS"
28023,32940,"Meridian, MS"
28027,17260,"Clarksdale, MS"
28029,27140,"Jackson, MS"
28033,32820,"Memphis, TN-MS-AR"
28035,25620,"Hattiesburg, MS"
28043,24980,"Grenada, MS"
28045,25060,"Gulfport-Biloxi, MS"
28047,25060,"Gulfport-Biloxi, MS"
28049,27140,"Jackson, MS"
28051,27140,"Jackson, MS"
28057,46180,"Tupelo, MS"
28059,25060,"Gulfport-Biloxi, MS"
28061,29860,"Laurel, MS"
28063,35020,"Natchez, MS-LA"
28067,29860,"Laurel, MS"
28071,37060,"Oxford, MS"
28073,25620,"Hattiesburg, MS"
28075,32940,"Meridian, MS"
28081,46180,"Tupelo, MS"
28083,24900,"Greenwood, MS"
28085,15020,"Brookhaven, MS"
28087,18060,"Columbus, MS"
28089,27140,"Jackson, MS"
28093,32820,"Memphis, TN-MS-AR"
28097,24980,"Grenada, MS"
28103,18060,"Columbus, MS"
28105,44260,"Starkville, MS"
28109,38100,"Picayune, MS"
28111,25620,"Hattiesburg, MS"
28113,32620,"McComb, MS"
28117,46180,"Tupelo, MS"
28121,27140,"Jackson, MS"
28123,27140,"Jackson, MS"
28127,27140,"Jackson, MS"
28131,25060,"Gulfport-Biloxi, MS"
28137,32820,"Memphis, TN-MS-AR"
28143,32820,"Memphis, TN-MS-AR"
28147,32620,"McComb, MS"
28149,46980,"Vicksburg, MS"
28151,24740,"Greenville, MS"
28155,44260,"Starkville, MS"
28161,37060,"Oxford, MS"
28163,27140,"Jackson, MS"
29001,28860,"Kirksville, MO"
29003,41140,"St. Joseph, MO-KS"
29007,33020,"Mexico, MO"
29013,28140,"Kansas City, MO-KS"
29017,16020,"Cape Girardeau, MO-IL"
29019,17860,"Columbia, MO"
29021,41140,"St. Joseph, MO-KS"
29023,38740,"Poplar Bluff, MO"
29025,28140,"Kansas City, MO-KS"
29027,27620,"Jefferson City, MO"
29031,16020,"Cape Girardeau, MO-IL"
29037,28140,"Kansas City, MO-KS"
29043,44180,"Springfield, MO"
29047,28140,"Kansas City, MO-KS"
29049,28140,"Kansas City, MO-KS"
29051,27620,"Jefferson City, MO"
29053,17860,"Columbia, MO"
29059,44180,"Springfield, MO"
29063,41140,"St. Joseph, MO-KS"
29069,28380,"Kennett, MO"
29071,41180,"St. Louis, MO-IL"
29077,44180,"Springfield, MO"
29089,17860,"Columbia, MO"
29091,48460,"West Plains, MO"
29095,28140,"Kansas City, MO-KS"
29097,27900,"Joplin, MO-KS"
29099,41180,"St. Louis, MO-IL"
29101,47660,"Warrensburg, MO"
29105,30060,"Lebanon, MO"
29107,28140,"Kansas City, MO-KS"
29111,39500,"Quincy, IL-MO"
29113,41180,"St. Louis, MO-IL"
29127,25300,"Hannibal, MO"
29133,43460,"Sikeston, MO"
29135,27620,"Jefferson City, MO"
29145,27900,"Joplin, MO-KS"
29147,32340,"Maryville, MO"
29151,27620,"Jefferson City, MO"
29159,42740,"Sedalia, MO"
29161,40620,"Rolla, MO"
29165,28140,"Kansas City, MO-KS"
29167,44180,"Springfield, MO"
29169,22780,"Fort Leonard Wood, MO"
29173,25300,"Hannibal, MO"
29175,33620,"Moberly, MO"
29177,28140,"Kansas City, MO-KS"
29183,41180,"St. Louis, MO-IL"
29187,22100,"Farmington, MO"
29189,41180,"St. Louis, MO-IL"
29195,32180,"Marshall, MO"
29197,28860,"Kirksville, MO"
29201,43460,"Sikeston, MO"
29213,14700,"Branson, MO"
29219,41180,"St. Louis, MO-IL"
29225,44180,"Springfield, MO"
29510,41180,"St. Louis, MO-IL"
30007,25740,"Helena, MT"
30009,13740,"Billings, MT"
30013,24500,"Great Falls, MT"
30029,28060,"Kalispell, MT"
30031,14580,"Bozeman, MT"
30043,25740,"Helena, MT"
30049,25740,"Helena, MT"
30061,33540,"Missoula, MT"
30063,33540,"Missoula, MT"
30093,15580,"Butte-Silver Bow, MT"
30095,13740,"Billings, MT"
30111,13740,"Billings, MT"
31001,25580,"Hastings, NE"
31007,42420,"Scottsbluff, NE"
31019,28260,"Kearney, NE"
31025,36540,"Omaha, NE-IA"
31035,25580,"Hastings, NE"
31037,18100,"Columbus, NE"
31043,43580,"Sioux City, IA-NE-SD"
31047,30420,"Lexington, NE"
31053,23340,"Fremont, NE"
31055,36540,"Omaha, NE-IA"
31067,13100,"Beatrice, NE"
31073,30420,"Lexington, NE"
31079,24260,"Grand Island, NE"
31093,24260,"Grand Island, NE"
31099,28260,"Kearney, NE"
31109,30700,"Lincoln, NE"
31111,35820,"North Platte, NE"
31113,35820,"North Platte, NE"
31119,35740,"Norfolk, NE"
31121,24260,"Grand Island, NE"
31139,35740,"Norfolk, NE"
31141,18100,"Columbus, NE"
31153,36540,"Omaha, NE-IA"
31155,36540,"Omaha, NE-IA"
31157,42420,"Scottsbluff, NE"
31159,30700,"Lincoln, NE"
31167,35740,"Norfolk, NE"
31177,36540,"Omaha, NE-IA"
31181,25580,"Hastings, NE"
32001,21980,"Fallon, NV"
32003,29820,"Las Vegas-Henderson-North Las Vegas, NV"
32005,23820,"Gardnerville Ranchos, NV-CA"
32007,21220,"Elko, NV"
32011,21220,"Elko, NV"
32013,49080,"Winnemucca, NV"
32019,39900,"Reno, NV"
32023,37220,"Pahrump, NV"
32029,39900,"Reno, NV"
32031,39900,"Reno, NV"
32510,16180,"Carson City, NV"
33001,29060,"Laconia, NH"
33005,28300,"Keene, NH"
33009,30150,"Lebanon-Claremont, NH-VT"
33011,31700,"Manchester-Nashua, NH"
33013,18180,"Concord, NH"
33015,14460,"Boston-Cambridge-Newton, MA-NH"
33017,14460,"Boston-Cambridge-Newton, MA-NH"
33019,30150,"Lebanon-Claremont, NH-VT"
34001,12100,"Atlantic City-Hammonton, NJ"
34003,35620,"New York-Newark-Jersey City, NY-NJ"
34005,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
34007,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
34009,12100,"Atlantic City-Hammonton, NJ"
34011,47220,"Vineland, NJ"
34013,35620,"New York-Newark-Jersey City, NY-NJ"
