analysis_date,source_type,source_name,source_url,access_status,role_in_packet,notes
2026-03-28,official_airport_page,Reagan National Airport Overview,https://www.flyreagan.com/airport-overview,200_OK,Reagan campus acreage and bounded-campus support,"Official Reagan page states the airport is a bounded 860-acre campus in Virginia with terminals, parking, and roadway systems."
2026-03-28,official_mwaa_environmental_pdf,DCA Roadway EA Final Environmental Assessment,https://www.mwaa.com/sites/mwaa.com/files/2024-03/dca_roadway_ea_v1_final_ea_20231213_signed.pdf,200_OK,Reagan geometry QA,Official MWAA DCA roadway EA map set used to QA that the selected Reagan special block group is the airport-shaped bounded campus proxy rather than a county/place surrogate.
2026-03-28,official_mwaa_environmental_pdf,DCA Roadway EA Final Appendices,https://www.mwaa.com/sites/mwaa.com/files/2024-03/dca_roadway_ea_v2_final_ea_appendices_20240111.pdf,200_OK,Reagan geometry QA,Official MWAA appendix map set used as additional QA for the Reagan campus proxy choice.
2026-03-28,official_airport_page,Dulles International Airport Overview,https://www.flydulles.com/airport-overview,200_OK,Dulles campus acreage and bounded-campus support,"Official Dulles page states the airport spans Loudoun and Fairfax counties and covers 11,184 acres with on-airport roads plus the Dulles Airport Access Road connection."
2026-03-28,official_master_plan_page,Dulles International Airport Master Plan,https://www.flydulles.com/about-airport/dulles-international-airport-master-plan,200_OK,Dulles property-map QA,Official Dulles master-plan page exposes the 2025 Airport Layout Plan drawing set; the property-map sheet supports treating the two special airport block groups as the best public bounded-campus proxy.
2026-03-28,official_arcgis_route_service,VDOT Routes FeatureServer layer 0,https://services.arcgis.com/p5v98VHDX9Atv3l7/arcgis/rest/services/VDOT_Routes/FeatureServer/0,200_OK,Dulles roadway corridor geometry,Official statewide VDOT route centerline service used to extract Route 267 segments in the Dulles corridor and build the Dulles roadway facilities component with a conservative 20 m buffer in EPSG:5070.
2026-03-28,official_mwaa_page,Toll Calculator Now Available on Dulles Toll Road Website,https://www.mwaa.com/news/toll-calculator-now-available-dulles-toll-road-website,200_OK,Dulles roadway scope support,Official MWAA notice confirming MWAA operates and maintains the Dulles Toll Road under permit from the Commonwealth of Virginia.
2026-03-28,official_county_parcel_layer,Fairfax Parcels FeatureServer layer 0,https://services1.arcgis.com/ioennV6PpG5Xodq0/arcgis/rest/services/Parcels/FeatureServer/0,200_OK,IAD parcel corroboration only,Used with Fairfax parcel land-use records to confirm that county-level airport parcel data captures only part of IAD and therefore undercovers the full MWAA airport property.
2026-03-28,official_county_landuse_table,Fairfax Parcel Data Table FeatureServer layer 1,https://services1.arcgis.com/ioennV6PpG5Xodq0/ArcGIS/rest/services/OpenData_A6/FeatureServer/1,200_OK,IAD parcel corroboration only,"Used to identify Fairfax IAD parcel PIN 0243 01  0001 with land-use label 'Air,runways,terminals and maintenance'."
2026-03-28,official_county_parcel_layer,Loudoun LandRecords MapServer layer 5,https://logis.loudoun.gov/gis/rest/services/COL/LandRecords/MapServer/5,200_OK,IAD parcel corroboration only,Used with Loudoun land-use data to show that county airport parcel rows capture only a limited subset of the airport property.
2026-03-28,official_county_landuse_table,Loudoun BuildOut LandUse MapServer layer 1,https://logis.loudoun.gov/gis/rest/services/Projects/BuildOut_LandUse/MapServer/1,200_OK,IAD parcel corroboration only,Used to identify Loudoun COM_AIRPORT parcel inventory for the Dulles airport property QA check.
2026-03-28,official_environmental_notice,DCA Roadway Network Improvements Final EA Notice,https://www.mwaa.com/notice-availability-dca-roadway-network-improvements-and-associated-development-final-environmental,200_OK,document landing page,Official MWAA landing page for the DCA EA / appendix PDFs used in the Reagan campus QA step.
