ori9,fill_rows,n_rows,fill_mass,total_estimated,reported_2024,fill_sources,last_usable_year_before_2024,usable_rows_2024,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source,years_since_last_real_report,on_fbi_2024_roster
CA0337800,7,7,1747.4146733544044,1747.4146733544044,0.0,hist_median,2020.0,0.0,MENIFEE,local_police,,65.0,46842.0,srs_agency_header,4.0,False
FL0062700,7,7,1674.7077904094192,1674.7077904094192,0.0,hist_median,2020.0,0.0,SUNRISE,local_police,97895.0,11.0,69700.0,srs_agency_header,4.0,True
FL0062400,7,7,1583.7883667142562,1583.7883667142562,0.0,hist_median,2020.0,0.0,OAKLAND PARK,local_police,45857.0,11.0,50575.0,srs_agency_header,4.0,True
IL0570100,7,7,1279.960539320606,1279.960539320606,0.0,hist_median,2021.0,0.0,BLOOMINGTON,local_police,78955.0,113.0,6613.0,srs_agency_header,3.0,True
FL0280000,7,7,1243.3052725176458,1243.3052725176458,0.0,hist_median,2020.0,0.0,HIGHLANDS,sheriff,97382.0,55.0,99055.0,srs_agency_header,4.0,True
MS0300000,7,7,1240.3964904543468,1240.3964904543468,0.0,hist_median,2019.0,0.0,JACKSON,sheriff,76376.0,59.0,99059.0,srs_agency_header,5.0,True
MS0380100,7,7,1225.4139400132187,1225.4139400132187,0.0,hist_median,2019.0,0.0,MERIDIAN,local_police,37500.0,75.0,46640.0,srs_agency_header,5.0,True
PAPSP2500,7,7,1218.8789974653434,1218.8789974653434,0.0,hist_median,2021.0,0.0,STATE POLICE ERIE,unknown,,49.0,,leaic_crosswalk,3.0,False
FL0063100,7,7,1193.155570005675,1193.155570005675,0.0,hist_median,2020.0,0.0,TAMARAC,local_police,72527.0,11.0,70675.0,srs_agency_header,4.0,True
FL0131200,7,7,1130.8721003036944,1130.8721003036944,0.0,hist_median,2019.0,0.0,OPA LOCKA,local_police,16663.0,86.0,51650.0,srs_agency_header,5.0,True
FL0480300,7,7,1109.6023576945508,1109.6023576945508,0.0,hist_median,2020.0,0.0,OCOEE,local_police,50741.0,95.0,51075.0,srs_agency_header,4.0,True
