ori7c,ori9,state_abbr,state_fips,year,aggravated_assault,burglary,larceny,motor_vehicle_theft,murder,rape,robbery,total,sig,preferred_sources,max_preferred_months,n_usable,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source,cw_n_jurisdictions,cw_weight_sum,cw_relationship,cw_jurisdictions,estimated_count_2024_all_offenses,group_n_ori9,group_n_distinct_signature,group_total_sum,group_total_max,group_total_min,group_excess_mass,match_evidence,duplicate_class
GA04414,GA0441400,GA,13,2024,3.0,23.0,271.0,9.0,0.0,7.0,5.0,318.0,0|7|5|3|23|271|9,srs_return_a_annual,12.0,7,EMORY UNIVERSITY,constable_marshal,,089,23536,srs_agency_header,1.0,1.0,exclusive,13:municipal:place:1323536,318.0,2,1,636.0,318.0,318.0,318.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
GA04414,GA044149E,GA,13,2024,3.0,23.0,271.0,9.0,0.0,7.0,5.0,318.0,0|7|5|3|23|271|9,nibrs_srs_equivalent_annual,12.0,7,ATLANTA,special_jurisdiction,0.0,089,,fbi_cde_agency_roster,1.0,1.0,overlap,13:statewide_overlap_layer,318.0,2,1,636.0,318.0,318.0,318.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
CA05614,CA0561400,CA,06,2024,29.0,28.0,210.0,14.0,0.0,1.0,5.0,287.0,0|1|5|29|28|210|14,cius_publication_annual,12.0,7,MOORPARK,local_police,,111,49138,srs_agency_header,1.0,1.0,exclusive,06:municipal:place:0649138,287.0,2,1,574.0,287.0,287.0,287.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
CA05614,CA056140X,CA,06,2024,29.0,28.0,210.0,14.0,0.0,1.0,5.0,287.0,0|1|5|29|28|210|14,nibrs_srs_equivalent_annual,12.0,7,VENTURA,local_police,37121.0,111,,fbi_cde_agency_roster,1.0,1.0,exclusive,06:municipal:place:0665042,287.0,2,1,574.0,287.0,287.0,287.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
CA00723,CA0072300,CA,06,2024,14.0,27.0,204.0,19.0,0.0,7.0,6.0,277.0,0|7|6|14|27|204|19,srs_return_a_annual,12.0,7,DANVILLE,local_police,,013,17988,srs_agency_header,1.0,1.0,exclusive,06:municipal:place:0617988,277.0,2,1,554.0,277.0,277.0,277.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
CA00723,CA007230X,CA,06,2024,14.0,27.0,204.0,19.0,0.0,7.0,6.0,277.0,0|7|6|14|27|204|19,nibrs_srs_equivalent_annual,12.0,7,MARTINEZ,local_police,45202.0,013,,fbi_cde_agency_roster,1.0,1.0,exclusive,06:municipal:place:0617988,277.0,2,1,554.0,277.0,277.0,277.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
CT00504,CT0050400,CT,09,2024,3.0,46.0,194.0,31.0,0.0,0.0,3.0,277.0,0|0|3|3|46|194|31,srs_return_a_annual,12.0,7,YALE UNIVERSITY,unknown,,,,,1.0,1.0,overlap,09:statewide_overlap_layer,277.0,2,1,554.0,277.0,277.0,277.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
CT00504,CT005049E,CT,09,2024,3.0,46.0,194.0,31.0,0.0,0.0,3.0,277.0,0|0|3|3|46|194|31,nibrs_srs_equivalent_annual,12.0,7,,special_jurisdiction,0.0,,,,1.0,1.0,overlap,09:statewide_overlap_layer,277.0,2,1,554.0,277.0,277.0,277.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
CA03048,CA0304800,CA,06,2024,29.0,33.0,160.0,46.0,0.0,0.0,8.0,276.0,0|0|8|29|33|160|46,srs_return_a_annual,12.0,7,RANCHO SANTA MARGARITA,local_police,,059,59587,srs_agency_header,1.0,1.0,exclusive,06:municipal:place:0659587,276.0,2,1,552.0,276.0,276.0,276.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
CA03048,CA030480X,CA,06,2024,29.0,33.0,160.0,46.0,0.0,0.0,8.0,276.0,0|0|8|29|33|160|46,nibrs_srs_equivalent_annual,12.0,7,SANTA ANA,local_police,48918.0,059,,fbi_cde_agency_roster,1.0,1.0,exclusive,06:municipal:place:0659587,276.0,2,1,552.0,276.0,276.0,276.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
TX05751,TX0575100,TX,48,2024,5.0,5.0,231.0,20.0,0.0,4.0,0.0,265.0,0|4|0|5|5|231|20,srs_return_a_annual,12.0,7,BAYLOR HEALTH CARE SYSTE,special_jurisdiction,,113,19000,srs_agency_header,1.0,1.0,overlap,48:statewide_overlap_layer,265.0,2,1,530.0,265.0,265.0,265.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
TX05751,TX057519E,TX,48,2024,5.0,5.0,231.0,20.0,0.0,4.0,0.0,265.0,0|4|0|5|5|231|20,nibrs_srs_equivalent_annual,12.0,7,DALLAS,special_jurisdiction,0.0,113,,fbi_cde_agency_roster,1.0,1.0,overlap,48:statewide_overlap_layer,265.0,2,1,530.0,265.0,265.0,265.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
MI63183,MI6318300,MI,26,2024,16.0,22.0,206.0,12.0,0.0,5.0,3.0,264.0,0|5|3|16|22|206|12,srs_return_a_annual,12.0,7,COMMERCE TOWNSHIP,unknown,,,,,1.0,1.0,overlap,26:statewide_overlap_layer,264.0,2,1,528.0,264.0,264.0,264.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
MI63183,MI631830X,MI,26,2024,16.0,22.0,206.0,12.0,0.0,5.0,3.0,264.0,0|5|3|16|22|206|12,nibrs_srs_equivalent_annual,12.0,7,,local_police,39878.0,125,,fbi_cde_agency_roster,1.0,1.0,exclusive,26:municipal:cousub:2612517640,264.0,2,1,528.0,264.0,264.0,264.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
CA00199,CA0019900,CA,06,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0|0|0|0|0|0|0,srs_return_a_annual,0.0,0,HP ALAMEDA COUNTY,state_law_enforcement,0.0,001,33000,srs_agency_header,1.0,1.0,overlap,06:statewide_overlap_layer,220.69757514560132,4,4,689.0,444.0,0.0,245.0,same_ori7_different_counts,T1_same_ori7_multiple_ori9
CA00199,CA0019945,CA,06,2024,8.0,0.0,30.0,168.0,0.0,0.0,1.0,207.0,0|0|1|8|0|30|168,nibrs_srs_equivalent_annual,12.0,7,HIGHWAY PATROL HAYWARD AREA OFFICE,state_law_enforcement,0.0,001,,fbi_cde_agency_roster,1.0,1.0,overlap,06:statewide_overlap_layer,207.0,4,4,689.0,444.0,0.0,245.0,same_ori7_different_counts,T1_same_ori7_multiple_ori9
CA00199,CA0019970,CA,06,2024,23.0,1.0,32.0,385.0,0.0,0.0,3.0,444.0,0|0|3|23|1|32|385,nibrs_srs_equivalent_annual,12.0,7,HIGHWAY PATROL OAKLAND AREA OFFICE,state_law_enforcement,0.0,001,,fbi_cde_agency_roster,1.0,1.0,overlap,06:statewide_overlap_layer,444.0,4,4,689.0,444.0,0.0,245.0,same_ori7_different_counts,T1_same_ori7_multiple_ori9
CA00199,CA0019990,CA,06,2024,10.0,2.0,10.0,16.0,0.0,0.0,0.0,38.0,0|0|0|10|2|10|16,nibrs_srs_equivalent_annual,12.0,7,HIGHWAY PATROL DUBLIN AREA OFFICE,state_law_enforcement,0.0,001,,fbi_cde_agency_roster,1.0,1.0,overlap,06:statewide_overlap_layer,38.0,4,4,689.0,444.0,0.0,245.0,same_ori7_different_counts,T1_same_ori7_multiple_ori9
IN07113,IN0711300,IN,18,2024,4.0,2.0,215.0,2.0,0.0,0.0,1.0,224.0,0|0|1|4|2|215|2,srs_return_a_annual,12.0,7,UNIVERSITY OF NOTRE DAME,unknown,,,,,1.0,1.0,overlap,18:statewide_overlap_layer,224.0,2,1,448.0,224.0,224.0,224.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
IN07113,IN071139E,IN,18,2024,4.0,2.0,215.0,2.0,0.0,0.0,1.0,224.0,0|0|1|4|2|215|2,nibrs_srs_equivalent_annual,12.0,7,,special_jurisdiction,0.0,141,,fbi_cde_agency_roster,1.0,1.0,overlap,18:statewide_overlap_layer,224.0,2,1,448.0,224.0,224.0,224.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
TX10138,TX1013800,TX,48,2024,1.0,11.0,124.0,58.0,1.0,1.0,0.0,196.0,1|1|0|1|11|124|58,cius_publication_annual,12.0,7,RICE UNIVERSITY,special_jurisdiction,,201,35000,srs_agency_header,1.0,1.0,overlap,48:statewide_overlap_layer,196.0,2,1,392.0,196.0,196.0,196.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
TX10138,TX101389E,TX,48,2024,1.0,11.0,124.0,58.0,1.0,1.0,0.0,196.0,1|1|0|1|11|124|58,nibrs_srs_equivalent_annual,12.0,7,HOUSTON,special_jurisdiction,0.0,201,,fbi_cde_agency_roster,1.0,1.0,overlap,48:statewide_overlap_layer,196.0,2,1,392.0,196.0,196.0,196.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
TX10158,TX1015800,TX,48,2024,47.0,2.0,127.0,17.0,0.0,0.0,0.0,193.0,0|0|0|47|2|127|17,srs_return_a_annual,12.0,7,TEXAS MEDICAL CENTER,special_jurisdiction,0.0,201,35000,srs_agency_header,1.0,1.0,overlap,48:statewide_overlap_layer,193.0,2,1,386.0,193.0,193.0,193.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
TX10158,TX101589E,TX,48,2024,47.0,2.0,127.0,17.0,0.0,0.0,0.0,193.0,0|0|0|47|2|127|17,nibrs_srs_equivalent_annual,12.0,7,HOUSTON,unknown,0.0,201,,fbi_cde_agency_roster,1.0,1.0,overlap,48:statewide_overlap_layer,193.0,2,1,386.0,193.0,193.0,193.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
CA00726,CA0072600,CA,06,2024,4.0,29.0,125.0,16.0,1.0,1.0,5.0,181.0,1|1|5|4|29|125|16,cius_publication_annual,12.0,7,ORINDA,local_police,,013,54232,srs_agency_header,1.0,1.0,exclusive,06:municipal:place:0654232,181.0,2,1,362.0,181.0,181.0,181.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
CA00726,CA007260X,CA,06,2024,4.0,29.0,125.0,16.0,1.0,1.0,5.0,181.0,1|1|5|4|29|125|16,nibrs_srs_equivalent_annual,12.0,7,MARTINEZ,local_police,20175.0,013,,fbi_cde_agency_roster,1.0,1.0,exclusive,06:municipal:place:0646114,181.0,2,1,362.0,181.0,181.0,181.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
CA03047,CA0304700,CA,06,2024,8.0,13.0,91.0,46.0,0.0,0.0,2.0,160.0,0|0|2|8|13|91|46,srs_return_a_annual,12.0,7,LAGUNA WOODS,local_police,,059,53980,srs_agency_header,1.0,1.0,exclusive,06:municipal:place:0653980,160.0,2,1,320.0,160.0,160.0,160.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
CA03047,CA030470X,CA,06,2024,8.0,13.0,91.0,46.0,0.0,0.0,2.0,160.0,0|0|2|8|13|91|46,nibrs_srs_equivalent_annual,12.0,7,SANTA ANA,local_police,17249.0,059,,fbi_cde_agency_roster,1.0,1.0,exclusive,06:municipal:place:0639259,160.0,2,1,320.0,160.0,160.0,160.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
MI63185,MI6318500,MI,26,2024,31.0,12.0,90.0,18.0,0.0,5.0,2.0,158.0,0|5|2|31|12|90|18,srs_return_a_annual,12.0,7,INDEPENDENCE TOWNSHIP,unknown,,,,,1.0,1.0,overlap,26:statewide_overlap_layer,158.0,2,1,316.0,158.0,158.0,158.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
MI63185,MI631850X,MI,26,2024,31.0,12.0,90.0,18.0,0.0,5.0,2.0,158.0,0|5|2|31|12|90|18,nibrs_srs_equivalent_annual,12.0,7,,local_police,37302.0,125,,fbi_cde_agency_roster,1.0,1.0,exclusive,26:municipal:cousub:2612540400,158.0,2,1,316.0,158.0,158.0,158.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
MI63188,MI6318800,MI,26,2024,11.0,9.0,112.0,24.0,0.0,1.0,1.0,158.0,0|1|1|11|9|112|24,srs_return_a_annual,12.0,7,ORION TOWNSHIP,unknown,,,,,1.0,1.0,overlap,26:statewide_overlap_layer,158.0,2,1,316.0,158.0,158.0,158.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
MI63188,MI631880X,MI,26,2024,11.0,9.0,112.0,24.0,0.0,1.0,1.0,158.0,0|1|1|11|9|112|24,nibrs_srs_equivalent_annual,12.0,7,,local_police,37125.0,125,,fbi_cde_agency_roster,1.0,1.0,exclusive,26:municipal:cousub:2612561100,158.0,2,1,316.0,158.0,158.0,158.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
TX05752,TX0575200,TX,48,2024,1.0,25.0,80.0,35.0,0.0,5.0,0.0,146.0,0|5|0|1|25|80|35,srs_return_a_annual,12.0,7,SOUTHERN METHODIST UNIV,special_jurisdiction,,113,19000,srs_agency_header,1.0,1.0,overlap,48:statewide_overlap_layer,146.0,2,1,292.0,146.0,146.0,146.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
TX05752,TX057529E,TX,48,2024,1.0,25.0,80.0,35.0,0.0,5.0,0.0,146.0,0|5|0|1|25|80|35,nibrs_srs_equivalent_annual,12.0,7,DALLAS,special_jurisdiction,0.0,113,,fbi_cde_agency_roster,1.0,1.0,overlap,48:statewide_overlap_layer,146.0,2,1,292.0,146.0,146.0,146.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
CA05499,CA0549900,CA,06,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0|0|0|0|0|0|0,srs_return_a_annual,0.0,0,HP TULARE COUNTY,state_law_enforcement,0.0,107,82954,srs_agency_header,1.0,1.0,overlap,06:statewide_overlap_layer,720.9184576233268,3,3,454.0,314.0,0.0,140.0,same_ori7_different_counts,T1_same_ori7_multiple_ori9
CA05499,CA0549980,CA,06,2024,0.0,0.0,65.0,249.0,0.0,0.0,0.0,314.0,0|0|0|0|0|65|249,nibrs_srs_equivalent_annual,12.0,7,HIGHWAY PATROL VISALIA AREA OFFICE,state_law_enforcement,0.0,107,,fbi_cde_agency_roster,1.0,1.0,overlap,06:statewide_overlap_layer,314.0,3,3,454.0,314.0,0.0,140.0,same_ori7_different_counts,T1_same_ori7_multiple_ori9
CA05499,CA0549981,CA,06,2024,0.0,0.0,37.0,103.0,0.0,0.0,0.0,140.0,0|0|0|0|0|37|103,nibrs_srs_equivalent_annual,12.0,7,HIGHWAY PATROL PORTERVILLE AREA OFFICE,state_law_enforcement,0.0,107,,fbi_cde_agency_roster,1.0,1.0,overlap,06:statewide_overlap_layer,140.0,3,3,454.0,314.0,0.0,140.0,same_ori7_different_counts,T1_same_ori7_multiple_ori9
OK05502,OK0550200,OK,40,2024,89.0,61.0,542.0,63.0,1.0,9.0,12.0,777.0,1|9|12|89|61|542|63,cius_publication_annual,12.0,7,DEL CITY,local_police,21859.0,109,19900,srs_agency_header,1.0,1.0,exclusive,40:municipal:place:4019900,777.0,2,2,910.0,777.0,133.0,133.0,same_ori7_different_counts,T1_same_ori7_multiple_ori9
OK05502,OK055025C,OK,40,2024,78.0,0.0,2.0,0.0,15.0,37.0,1.0,133.0,15|37|1|78|0|2|0,nibrs_srs_equivalent_annual,12.0,7,,unknown,0.0,,,,1.0,1.0,overlap,40:statewide_overlap_layer,133.0,2,2,910.0,777.0,133.0,133.0,same_ori7_different_counts,T1_same_ori7_multiple_ori9
TX15525,TX1552500,TX,48,2024,1.0,23.0,83.0,21.0,0.0,0.0,0.0,128.0,0|0|0|1|23|83|21,srs_return_a_annual,12.0,7,BAYLOR UNIVERSITY WACO,constable_marshal,,309,99309,srs_agency_header,1.0,1.0,overlap,48:statewide_overlap_layer,128.0,2,1,256.0,128.0,128.0,128.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
TX15525,TX155259E,TX,48,2024,1.0,23.0,83.0,21.0,0.0,0.0,0.0,128.0,0|0|0|1|23|83|21,nibrs_srs_equivalent_annual,12.0,7,WACO,special_jurisdiction,0.0,309,,fbi_cde_agency_roster,1.0,1.0,overlap,48:statewide_overlap_layer,128.0,2,1,256.0,128.0,128.0,128.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
MA01372,MA0137200,MA,25,2024,1.0,9.0,95.0,1.0,0.0,1.0,2.0,109.0,0|1|2|1|9|95|1,srs_return_a_annual,12.0,7,BERKLEY COLLEGE OF MUSIC,unknown,,,,,1.0,1.0,overlap,25:statewide_overlap_layer,109.0,2,1,218.0,109.0,109.0,109.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
MA01372,MA013729E,MA,25,2024,1.0,9.0,95.0,1.0,0.0,1.0,2.0,109.0,0|1|2|1|9|95|1,nibrs_srs_equivalent_annual,12.0,7,,special_jurisdiction,0.0,025,,fbi_cde_agency_roster,1.0,1.0,overlap,25:statewide_overlap_layer,109.0,2,1,218.0,109.0,109.0,109.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
RI00423,RI0042300,RI,44,2024,0.0,6.0,72.0,23.0,0.0,0.0,0.0,101.0,0|0|0|0|6|72|23,cius_publication_annual,12.0,7,BROWN UNIVERSITY,special_jurisdiction,,007,59000,srs_agency_header,1.0,1.0,overlap,44:statewide_overlap_layer,101.0,2,1,202.0,101.0,101.0,101.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
RI00423,RI004239E,RI,44,2024,0.0,6.0,72.0,23.0,0.0,0.0,0.0,101.0,0|0|0|0|6|72|23,nibrs_srs_equivalent_annual,12.0,7,PROVIDENCE,special_jurisdiction,0.0,007,,fbi_cde_agency_roster,1.0,1.0,overlap,44:statewide_overlap_layer,101.0,2,1,202.0,101.0,101.0,101.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
MO09501,MO0950100,MO,29,2024,1.0,0.0,77.0,14.0,0.0,0.0,0.0,92.0,0|0|0|1|0|77|14,srs_return_a_annual,11.0,0,WASHINGTON UNIVERSITY,local_police,,189,01612,srs_agency_header,1.0,1.0,overlap,29:statewide_overlap_layer,100.87943205021857,2,1,184.0,92.0,92.0,92.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
MO09501,MO095019E,MO,29,2024,1.0,0.0,77.0,14.0,0.0,0.0,0.0,92.0,0|0|0|1|0|77|14,nibrs_srs_equivalent_annual,11.0,7,SAINT LOUIS,special_jurisdiction,0.0,189,,fbi_cde_agency_roster,1.0,1.0,overlap,29:statewide_overlap_layer,92.0,2,1,184.0,92.0,92.0,92.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
UT02512,UT0251200,UT,49,2024,2.0,6.0,76.0,0.0,0.0,1.0,0.0,85.0,0|1|0|2|6|76|0,srs_return_a_annual,12.0,7,BRIGHAM YOUNG UNIVERSITY,special_jurisdiction,,049,62470,srs_agency_header,1.0,1.0,overlap,49:statewide_overlap_layer,85.0,2,1,170.0,85.0,85.0,85.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
UT02512,UT025129E,UT,49,2024,2.0,6.0,76.0,0.0,0.0,1.0,0.0,85.0,0|1|0|2|6|76|0,nibrs_srs_equivalent_annual,12.0,7,PROVO,special_jurisdiction,0.0,049,,fbi_cde_agency_roster,1.0,1.0,overlap,49:statewide_overlap_layer,85.0,2,1,170.0,85.0,85.0,85.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
IL0169W,IL0169W00,IL,17,2024,5.0,6.0,60.0,10.0,0.0,0.0,1.0,82.0,0|0|1|5|6|60|10,srs_return_a_annual,11.0,0,UNIV OF CHICAGO COOK C,unknown,,,,,1.0,1.0,overlap,17:statewide_overlap_layer,89.45454545454545,2,1,164.0,82.0,82.0,82.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
IL0169W,IL0169W9E,IL,17,2024,5.0,6.0,60.0,10.0,0.0,0.0,1.0,82.0,0|0|1|5|6|60|10,nibrs_srs_equivalent_annual,12.0,7,CHICAGO,special_jurisdiction,0.0,031,,fbi_cde_agency_roster,1.0,1.0,overlap,17:statewide_overlap_layer,82.0,2,1,164.0,82.0,82.0,82.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
MI63184,MI6318400,MI,26,2024,25.0,6.0,33.0,16.0,0.0,1.0,0.0,81.0,0|1|0|25|6|33|16,srs_return_a_annual,12.0,7,HIGHLAND TOWNSHIP,unknown,,,,,1.0,1.0,overlap,26:statewide_overlap_layer,81.0,2,1,162.0,81.0,81.0,81.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
MI63184,MI631840X,MI,26,2024,25.0,6.0,33.0,16.0,0.0,1.0,0.0,81.0,0|1|0|25|6|33|16,nibrs_srs_equivalent_annual,12.0,7,,local_police,20302.0,125,,fbi_cde_agency_roster,1.0,1.0,exclusive,26:municipal:cousub:2612538080,81.0,2,1,162.0,81.0,81.0,81.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
GA01109,GA0110900,GA,13,2024,0.0,0.0,66.0,7.0,0.0,4.0,0.0,77.0,0|4|0|0|0|66|7,cius_publication_annual,12.0,7,MERCER UNIVERSITY,special_jurisdiction,,021,49000,srs_agency_header,1.0,1.0,overlap,13:statewide_overlap_layer,77.0,2,1,154.0,77.0,77.0,77.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
GA01109,GA011099E,GA,13,2024,0.0,0.0,66.0,7.0,0.0,4.0,0.0,77.0,0|4|0|0|0|66|7,nibrs_srs_equivalent_annual,12.0,7,MACON,special_jurisdiction,0.0,021,,fbi_cde_agency_roster,1.0,1.0,overlap,13:statewide_overlap_layer,77.0,2,1,154.0,77.0,77.0,77.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
