ori,state_fips,block_group_geoid,weight_share,geometry_source_type,geometry_source_ref,footprint_note
MA0096200,25,250173510012,5.65042592410222e-05,official_harvard_scope_plus_massgis_parcel_hybrid_footprint,HUPD Clery Geography Maps page; Harvard Facilities FeatureServer layer 8; Harvard HUGreenSpace VectorTileServer; MassGIS Level 3 Parcels FeatureServer layer 1,"Massachusetts-only Harvard footprint built as a hybrid of official Harvard/HUPD campus geography and MassGIS parcel envelopes: urban Cambridge/Allston/Longwood/Somerville/Arnold clusters use Harvard facilities, official landscaped-ground polygons, and Harvard-owner parcel envelopes near official facilities; Bedford, Concord, Carlisle, and Petersham use Harvard-owned MassGIS parcels consistent with official Concord Field Station and Harvard Forest scope. Foreign campuses and generic surrounding city territory are excluded."
MA0096200,25,250173512041,1.125984872803045e-05,official_harvard_scope_plus_massgis_parcel_hybrid_footprint,HUPD Clery Geography Maps page; Harvard Facilities FeatureServer layer 8; Harvard HUGreenSpace VectorTileServer; MassGIS Level 3 Parcels FeatureServer layer 1,"Massachusetts-only Harvard footprint built as a hybrid of official Harvard/HUPD campus geography and MassGIS parcel envelopes: urban Cambridge/Allston/Longwood/Somerville/Arnold clusters use Harvard facilities, official landscaped-ground polygons, and Harvard-owner parcel envelopes near official facilities; Bedford, Concord, Carlisle, and Petersham use Harvard-owned MassGIS parcels consistent with official Concord Field Station and Harvard Forest scope. Foreign campuses and generic surrounding city territory are excluded."
MA0096200,25,250173512043,0.0003600169076290262,official_harvard_scope_plus_massgis_parcel_hybrid_footprint,HUPD Clery Geography Maps page; Harvard Facilities FeatureServer layer 8; Harvard HUGreenSpace VectorTileServer; MassGIS Level 3 Parcels FeatureServer layer 1,"Massachusetts-only Harvard footprint built as a hybrid of official Harvard/HUPD campus geography and MassGIS parcel envelopes: urban Cambridge/Allston/Longwood/Somerville/Arnold clusters use Harvard facilities, official landscaped-ground polygons, and Harvard-owner parcel envelopes near official facilities; Bedford, Concord, Carlisle, and Petersham use Harvard-owned MassGIS parcels consistent with official Concord Field Station and Harvard Forest scope. Foreign campuses and generic surrounding city territory are excluded."
MA0096200,25,250173530001,0.0001716817304466075,official_harvard_scope_plus_massgis_parcel_hybrid_footprint,HUPD Clery Geography Maps page; Harvard Facilities FeatureServer layer 8; Harvard HUGreenSpace VectorTileServer; MassGIS Level 3 Parcels FeatureServer layer 1,"Massachusetts-only Harvard footprint built as a hybrid of official Harvard/HUPD campus geography and MassGIS parcel envelopes: urban Cambridge/Allston/Longwood/Somerville/Arnold clusters use Harvard facilities, official landscaped-ground polygons, and Harvard-owner parcel envelopes near official facilities; Bedford, Concord, Carlisle, and Petersham use Harvard-owned MassGIS parcels consistent with official Concord Field Station and Harvard Forest scope. Foreign campuses and generic surrounding city territory are excluded."
MA0096200,25,250173531021,1.917848124393399e-05,official_harvard_scope_plus_massgis_parcel_hybrid_footprint,HUPD Clery Geography Maps page; Harvard Facilities FeatureServer layer 8; Harvard HUGreenSpace VectorTileServer; MassGIS Level 3 Parcels FeatureServer layer 1,"Massachusetts-only Harvard footprint built as a hybrid of official Harvard/HUPD campus geography and MassGIS parcel envelopes: urban Cambridge/Allston/Longwood/Somerville/Arnold clusters use Harvard facilities, official landscaped-ground polygons, and Harvard-owner parcel envelopes near official facilities; Bedford, Concord, Carlisle, and Petersham use Harvard-owned MassGIS parcels consistent with official Concord Field Station and Harvard Forest scope. Foreign campuses and generic surrounding city territory are excluded."
MA0096200,25,250173536001,0.002921587278134018,official_harvard_scope_plus_massgis_parcel_hybrid_footprint,HUPD Clery Geography Maps page; Harvard Facilities FeatureServer layer 8; Harvard HUGreenSpace VectorTileServer; MassGIS Level 3 Parcels FeatureServer layer 1,"Massachusetts-only Harvard footprint built as a hybrid of official Harvard/HUPD campus geography and MassGIS parcel envelopes: urban Cambridge/Allston/Longwood/Somerville/Arnold clusters use Harvard facilities, official landscaped-ground polygons, and Harvard-owner parcel envelopes near official facilities; Bedford, Concord, Carlisle, and Petersham use Harvard-owned MassGIS parcels consistent with official Concord Field Station and Harvard Forest scope. Foreign campuses and generic surrounding city territory are excluded."
MA0096200,25,250173536002,0.01355806183413196,official_harvard_scope_plus_massgis_parcel_hybrid_footprint,HUPD Clery Geography Maps page; Harvard Facilities FeatureServer layer 8; Harvard HUGreenSpace VectorTileServer; MassGIS Level 3 Parcels FeatureServer layer 1,"Massachusetts-only Harvard footprint built as a hybrid of official Harvard/HUPD campus geography and MassGIS parcel envelopes: urban Cambridge/Allston/Longwood/Somerville/Arnold clusters use Harvard facilities, official landscaped-ground polygons, and Harvard-owner parcel envelopes near official facilities; Bedford, Concord, Carlisle, and Petersham use Harvard-owned MassGIS parcels consistent with official Concord Field Station and Harvard Forest scope. Foreign campuses and generic surrounding city territory are excluded."
MA0096200,25,250173536003,0.0003501949392457024,official_harvard_scope_plus_massgis_parcel_hybrid_footprint,HUPD Clery Geography Maps page; Harvard Facilities FeatureServer layer 8; Harvard HUGreenSpace VectorTileServer; MassGIS Level 3 Parcels FeatureServer layer 1,"Massachusetts-only Harvard footprint built as a hybrid of official Harvard/HUPD campus geography and MassGIS parcel envelopes: urban Cambridge/Allston/Longwood/Somerville/Arnold clusters use Harvard facilities, official landscaped-ground polygons, and Harvard-owner parcel envelopes near official facilities; Bedford, Concord, Carlisle, and Petersham use Harvard-owned MassGIS parcels consistent with official Concord Field Station and Harvard Forest scope. Foreign campuses and generic surrounding city territory are excluded."
MA0096200,25,250173537002,0.0003324205097762538,official_harvard_scope_plus_massgis_parcel_hybrid_footprint,HUPD Clery Geography Maps page; Harvard Facilities FeatureServer layer 8; Harvard HUGreenSpace VectorTileServer; MassGIS Level 3 Parcels FeatureServer layer 1,"Massachusetts-only Harvard footprint built as a hybrid of official Harvard/HUPD campus geography and MassGIS parcel envelopes: urban Cambridge/Allston/Longwood/Somerville/Arnold clusters use Harvard facilities, official landscaped-ground polygons, and Harvard-owner parcel envelopes near official facilities; Bedford, Concord, Carlisle, and Petersham use Harvard-owned MassGIS parcels consistent with official Concord Field Station and Harvard Forest scope. Foreign campuses and generic surrounding city territory are excluded."
MA0096200,25,250173537003,0.004983202673840957,official_harvard_scope_plus_massgis_parcel_hybrid_footprint,HUPD Clery Geography Maps page; Harvard Facilities FeatureServer layer 8; Harvard HUGreenSpace VectorTileServer; MassGIS Level 3 Parcels FeatureServer layer 1,"Massachusetts-only Harvard footprint built as a hybrid of official Harvard/HUPD campus geography and MassGIS parcel envelopes: urban Cambridge/Allston/Longwood/Somerville/Arnold clusters use Harvard facilities, official landscaped-ground polygons, and Harvard-owner parcel envelopes near official facilities; Bedford, Concord, Carlisle, and Petersham use Harvard-owned MassGIS parcels consistent with official Concord Field Station and Harvard Forest scope. Foreign campuses and generic surrounding city territory are excluded."
MA0096200,25,250173537004,0.001201473411961861,official_harvard_scope_plus_massgis_parcel_hybrid_footprint,HUPD Clery Geography Maps page; Harvard Facilities FeatureServer layer 8; Harvard HUGreenSpace VectorTileServer; MassGIS Level 3 Parcels FeatureServer layer 1,"Massachusetts-only Harvard footprint built as a hybrid of official Harvard/HUPD campus geography and MassGIS parcel envelopes: urban Cambridge/Allston/Longwood/Somerville/Arnold clusters use Harvard facilities, official landscaped-ground polygons, and Harvard-owner parcel envelopes near official facilities; Bedford, Concord, Carlisle, and Petersham use Harvard-owned MassGIS parcels consistent with official Concord Field Station and Harvard Forest scope. Foreign campuses and generic surrounding city territory are excluded."
